,sum_of_rewards
0,-1543.500545445501
1,-1405.85343209763
2,-1347.6508357196183
3,-1338.0505457752656
4,-1565.4476897598115
5,-1381.4675705797345
6,-1594.9274229380082
7,-1606.0431960108951
8,-1559.9582576711327
9,-1411.5144174956724
10,-1550.2773569586261
11,-1410.5350887053598
12,-1429.5240157635108
13,-937.256721982451
14,-649.324872066193
15,-902.519564286369
16,-1091.3418887557536
17,-1019.2170892991729
18,-1065.7251796158998
19,-1165.8732975531357
20,-929.6864186716945
21,-1021.3644709727591
22,-1034.5094407789902
23,-1310.5314085461916
24,-1352.4480475086386
25,-1170.2712591776956
26,-1273.7693082378598
27,-1228.488175552976
28,-1329.8623100953096
29,-1291.0313913085354
30,-1273.9513902711365
31,-1131.5285081773006
32,-1153.367248900136
33,-1260.3208257436129
34,-1268.2302443242568
35,-1227.5315258841656
36,-1232.9004525991306
37,-1016.9760717553698
38,-780.252388927658
39,-870.3452591177314
40,-952.7501896875015
41,-866.1665275376005
42,-793.1836210590891
43,-900.8471328883478
44,-786.4939063382024
45,-883.6376961695003
46,-878.2855969630549
47,-638.1845495893535
48,-269.16754437089565
49,-289.3676797877808
50,-863.1653593315538
51,-765.5706991641687
52,-776.7525236546338
53,-633.4175161110289
54,-724.4449661730422
55,-505.30496113745573
56,-362.29408717214056
57,-384.9567075839595
58,-255.44764651917072
59,-116.17978138234108
60,-279.16790680503624
61,-596.8634015113236
62,-641.1653523680718
63,-576.4006852909973
64,-529.2164640529264
65,-144.1163598183505
66,-13.923953282832114
67,-243.59467456198138
68,-227.03411792523897
69,-134.8014778062943
70,-130.20703442793953
71,-133.69384529297741
72,-220.544694949062
73,-10.688628205399304
74,-123.90182775933245
75,-12.90121160284263
76,-254.14369800075627
77,-250.52980730067975
78,-130.0651727248436
79,-135.0447918359373
80,-361.37447973230354
81,-3.9114756385693723
82,-430.7301148691943
83,-128.7761452399258
84,-121.54907730528194
85,-125.66240378074218
86,-454.3046299995739
87,-123.55177684327433
88,-1639.568992341552
89,-1653.0779508024993
90,-129.00547858103968
91,-1656.0559078138172
92,-125.08283462140514
93,-1380.565104987151
94,-12.284686699794289
95,-1495.250185981426
96,-131.20319257448338
97,-236.8710121355648
98,-128.92878427923728
99,-1501.294222549893
100,-237.59740757810272
101,-126.13372494219797
102,-249.6470135122543
103,-1495.7502523774406
104,-248.86698634591315
105,-244.40286736283917
106,-244.08596335965186
107,-1510.457426953669
108,-129.0147665317368
109,-1493.7515597392076
110,-249.80687421550778
111,-131.4638265479019
112,-345.5251537361202
113,-247.50264883715036
114,-248.0271946182386
115,-221.96565017792202
116,-251.11709668963198
117,-127.81624330174964
118,-116.88423336213215
119,-121.53381120145802
120,-240.51129810024332
121,-117.41507041651997
122,-117.31281236294093
123,-283.9769815169463
124,-127.7622329250202
125,-249.80540720680548
126,-121.66117061414828
127,-122.09255438944179
128,-127.17928348799677
129,-236.78241504150006
130,-0.698919206844482
131,-240.6180497803892
132,-128.27277787469797
133,-118.69304382412126
134,-1493.4475346167949
135,-318.8745869359961
136,-116.49066070604447
137,-460.60637471953504
138,-119.16173736238618
139,-236.99821111184806
140,-117.8042153797001
141,-239.70864782924178
142,-323.8715648465045
143,-119.5836726292308
144,-118.97062980582389
145,-121.93067286824332
146,-0.9510148170638416
147,-118.76352944047635
148,-1.7372558673872105
149,-387.56021112952334
